Date,AAVE,BTC,LINK,COMP,CURVE,ETH,SUSHI,SYNTH,UNI,YFI
2021-06-22,-21.81%,-11.01%,-19.49%,-24.30%,-24.64%,-15.72%,-21.12%,-22.30%,-23.50%,-18.38%
2021-06-21,6.79%,0.15%,6.38%,7.60%,3.54%,3.26%,12.37%,4.51%,4.37%,8.26%
2021-06-20,-3.56%,-0.42%,-4.11%,-1.92%,-3.13%,-2.51%,-3.97%,-2.51%,-2.69%,-2.37%
2021-06-19,-9.54%,-6.13%,-9.26%,-9.31%,-8.31%,-5.97%,-7.77%,-7.69%,-7.87%,-5.90%
2021-06-18,0.90%,-0.80%,1.69%,0.64%,1.35%,0.10%,-0.37%,-0.47%,1.51%,-0.35%
2021-06-17,-6.89%,-4.49%,-6.20%,-6.28%,-7.74%,-6.93%,-6.71%,-7.05%,-6.93%,-6.43%
2021-06-16,-1.97%,-1.80%,-1.82%,-3.39%,-1.78%,-1.76%,-1.63%,-3.61%,-3.07%,-1.24%
2021-06-15,0.50%,4.76%,6.92%,3.87%,3.24%,3.17%,7.04%,10.53%,3.84%,2.10%
2021-06-14,13.66%,9.83%,7.87%,9.45%,6.10%,5.85%,10.23%,7.92%,9.35%,6.26%
2021-06-13,-2.27%,-4.80%,0.92%,0.48%,-3.48%,0.84%,-8.36%,-2.00%,-1.75%,-1.52%
2021-06-12,-8.09%,1.72%,-7.03%,-10.00%,-4.67%,-4.83%,-8.87%,-13.02%,-8.03%,-2.48%
2021-06-11,-8.46%,-1.73%,-9.70%,-9.98%,-10.39%,-5.25%,-10.85%,-8.81%,-6.18%,-6.64%
2021-06-10,2.47%,11.60%,6.09%,3.44%,8.32%,3.67%,4.68%,4.23%,6.83%,1.75%
2021-06-09,-1.06%,-0.33%,-1.70%,2.60%,8.68%,-2.96%,-1.83%,-3.35%,-2.91%,-1.61%
2021-06-08,-8.62%,-6.34%,-10.95%,-11.77%,-12.58%,-4.48%,-11.19%,-9.25%,-6.27%,-6.12%
2021-06-07,2.48%,0.61%,1.53%,0.31%,-2.98%,3.20%,-0.04%,2.19%,0.83%,2.01%
2021-06-06,-4.50%,-3.41%,-6.06%,-3.54%,-5.70%,-2.16%,-2.55%,-4.55%,-3.12%,-1.01%
2021-06-05,-6.07%,-5.94%,-10.32%,-10.62%,7.11%,-5.84%,-10.16%,-9.82%,-7.73%,-6.90%
2021-06-04,3.60%,4.38%,5.08%,3.40%,7.12%,5.53%,5.25%,5.51%,3.78%,1.39%
2021-06-03,2.97%,2.40%,-0.25%,1.65%,14.07%,2.68%,4.02%,1.07%,0.72%,0.26%
2021-06-02,-2.33%,-1.65%,-4.22%,-2.07%,4.31%,-2.83%,-3.60%,-5.83%,-2.90%,-4.01%
2021-06-01,17.77%,4.61%,19.86%,7.56%,17.32%,13.67%,16.05%,13.74%,10.23%,12.24%
2021-05-31,8.61%,2.93%,5.14%,14.41%,-4.09%,4.54%,7.05%,8.55%,10.41%,6.79%
2021-05-30,-6.86%,-3.15%,-8.96%,-6.02%,9.71%,-5.83%,-5.12%,-8.68%,-10.39%,-4.56%
2021-05-29,-13.60%,-6.89%,-11.94%,-10.24%,-8.86%,-11.44%,-12.16%,-10.35%,-8.79%,-12.45%
2021-05-28,-10.70%,-2.25%,-5.67%,-9.43%,-7.92%,-5.32%,-10.11%,-8.34%,-1.22%,-6.68%
2021-05-27,11.91%,2.42%,21.84%,8.48%,17.34%,6.71%,9.79%,6.61%,13.85%,7.08%
2021-05-26,-3.88%,-0.89%,4.53%,0.40%,-0.71%,2.34%,2.07%,-1.87%,2.29%,-3.14%
2021-05-25,31.02%,11.13%,32.71%,24.45%,22.63%,25.39%,32.80%,17.94%,47.34%,47.78%
2021-05-24,-11.95%,-7.12%,-14.51%,-10.80%,-18.51%,-7.97%,-18.43%,-20.77%,-17.89%,-14.81%
2021-05-23,-10.35%,0.49%,-8.98%,-14.58%,-12.12%,-5.75%,-14.33%,-9.06%,-7.29%,-12.11%
2021-05-22,-20.52%,-8.64%,-19.00%,-18.10%,-16.32%,-12.73%,-14.62%,0.60%,-16.78%,-15.58%
2021-05-21,12.24%,10.46%,22.45%,16.42%,11.82%,13.39%,17.31%,12.95%,7.96%,12.44%
2021-05-20,-33.77%,-14.03%,-39.44%,-29.29%,-43.37%,-27.32%,-39.89%,-38.10%,-30.20%,-36.81%
2021-05-19,9.83%,-1.56%,14.29%,-4.52%,13.12%,2.87%,32.48%,14.54%,3.45%,13.42%
2021-05-18,9.07%,-5.95%,-8.46%,2.07%,-5.68%,-8.26%,-2.16%,7.80%,-6.66%,-2.45%
2021-05-17,2.14%,-1.02%,-1.93%,-0.79%,2.01%,-1.70%,2.21%,-2.06%,-0.75%,-1.89%
2021-05-16,-13.29%,-5.92%,-10.82%,-11.12%,-12.79%,-10.71%,-12.65%,-9.01%,-9.54%,-13.50%
2021-05-15,17.12%,0.17%,8.04%,1.38%,9.56%,9.85%,25.52%,-10.84%,8.42%,17.63%
