Date,AAVE,BTC,LINK,COMP,CURVE,ETH,SUSHI,SYNTH,UNI,YFI,
2021-07-15,0.50%,68.66%,1.81%,0.46%,0.27%,25.77%,0.18%,0.25%,1.96%,0.13%,100.00%
2021-07-14,0.50%,68.45%,1.88%,0.46%,0.28%,25.87%,0.18%,0.27%,1.99%,0.13%,100.00%
2021-07-13,0.49%,68.80%,1.89%,0.43%,0.28%,25.43%,0.18%,0.28%,2.07%,0.13%,100.00%
2021-07-12,0.52%,68.07%,1.92%,0.45%,0.28%,25.98%,0.19%,0.31%,2.14%,0.13%,100.00%
2021-07-11,0.51%,67.70%,1.93%,0.46%,0.29%,26.31%,0.20%,0.30%,2.17%,0.13%,100.00%
2021-07-10,0.51%,67.56%,1.96%,0.45%,0.29%,26.47%,0.20%,0.27%,2.17%,0.13%,100.00%
2021-07-09,0.52%,67.32%,1.98%,0.46%,0.29%,26.59%,0.20%,0.28%,2.23%,0.13%,100.00%
2021-07-08,0.51%,67.03%,2.01%,0.45%,0.29%,26.91%,0.20%,0.24%,2.22%,0.13%,100.00%
2021-07-07,0.52%,65.81%,2.05%,0.45%,0.31%,27.95%,0.21%,0.26%,2.31%,0.13%,100.00%
2021-07-06,0.52%,65.88%,2.06%,0.49%,0.31%,27.83%,0.21%,0.27%,2.30%,0.14%,100.00%
2021-07-05,0.52%,66.82%,1.94%,0.52%,0.29%,27.18%,0.19%,0.26%,2.13%,0.13%,100.00%
2021-07-04,0.45%,66.90%,1.95%,0.45%,0.29%,27.36%,0.18%,0.20%,2.10%,0.12%,100.00%
2021-07-03,0.43%,67.58%,1.92%,0.39%,0.28%,26.91%,0.18%,0.17%,2.01%,0.12%,100.00%
2021-07-02,0.40%,67.76%,1.95%,0.39%,0.27%,26.81%,0.18%,0.17%,1.94%,0.13%,100.00%
2021-07-01,0.40%,67.92%,1.98%,0.36%,0.28%,26.65%,0.18%,0.17%,1.93%,0.13%,100.00%
2021-06-30,0.41%,67.38%,2.00%,0.34%,0.29%,27.14%,0.19%,0.17%,1.96%,0.13%,100.00%
2021-06-29,0.39%,68.81%,2.00%,0.32%,0.28%,25.82%,0.18%,0.17%,1.90%,0.13%,100.00%
2021-06-28,0.39%,68.80%,2.00%,0.33%,0.26%,25.86%,0.18%,0.17%,1.89%,0.12%,100.00%
2021-06-27,0.35%,70.06%,1.97%,0.28%,0.26%,24.79%,0.17%,0.16%,1.84%,0.12%,100.00%
2021-06-26,0.35%,70.19%,1.96%,0.26%,0.27%,24.64%,0.18%,0.16%,1.87%,0.12%,100.00%
2021-06-25,0.35%,69.87%,2.01%,0.26%,0.26%,24.91%,0.17%,0.16%,1.88%,0.12%,100.00%
2021-06-24,0.36%,69.80%,2.04%,0.28%,0.28%,24.85%,0.17%,0.16%,1.94%,0.12%,100.00%
2021-06-23,0.36%,69.49%,2.01%,0.27%,0.25%,25.20%,0.17%,0.17%,1.96%,0.12%,100.00%
2021-06-22,0.38%,69.84%,1.92%,0.27%,0.25%,25.01%,0.18%,0.17%,1.88%,0.12%,100.00%
2021-06-21,0.40%,69.02%,2.03%,0.26%,0.26%,25.69%,0.17%,0.18%,1.86%,0.13%,100.00%
2021-06-20,0.44%,67.67%,2.20%,0.30%,0.30%,26.47%,0.19%,0.20%,2.10%,0.13%,100.00%
2021-06-19,0.42%,68.40%,2.10%,0.28%,0.29%,25.98%,0.17%,0.19%,2.04%,0.13%,100.00%
2021-06-18,0.43%,67.98%,2.15%,0.28%,0.30%,26.29%,0.18%,0.19%,2.07%,0.13%,100.00%
2021-06-17,0.45%,67.88%,2.22%,0.29%,0.30%,26.25%,0.18%,0.20%,2.11%,0.13%,100.00%
2021-06-16,0.44%,68.13%,2.19%,0.29%,0.30%,26.10%,0.18%,0.19%,2.07%,0.13%,100.00%
2021-06-15,0.45%,67.53%,2.21%,0.29%,0.31%,26.59%,0.18%,0.20%,2.11%,0.13%,100.00%
2021-06-14,0.45%,67.42%,2.21%,0.30%,0.31%,26.66%,0.18%,0.20%,2.14%,0.13%,100.00%
2021-06-13,0.47%,67.27%,2.15%,0.30%,0.31%,26.87%,0.18%,0.19%,2.14%,0.13%,100.00%
2021-06-12,0.45%,66.56%,2.17%,0.30%,0.32%,27.57%,0.18%,0.19%,2.13%,0.13%,100.00%
2021-06-11,0.44%,67.74%,2.07%,0.29%,0.32%,26.51%,0.18%,0.19%,2.12%,0.13%,100.00%
2021-06-10,0.48%,66.16%,2.23%,0.32%,0.33%,27.66%,0.20%,0.22%,2.27%,0.13%,100.00%
2021-06-09,0.50%,65.27%,2.38%,0.34%,0.35%,28.23%,0.22%,0.23%,2.34%,0.14%,100.00%
2021-06-08,0.54%,63.60%,2.45%,0.36%,0.36%,29.69%,0.23%,0.24%,2.38%,0.15%,100.00%
2021-06-07,0.54%,63.10%,2.46%,0.35%,0.33%,30.18%,0.23%,0.25%,2.42%,0.15%,100.00%
2021-06-06,0.55%,63.30%,2.59%,0.37%,0.35%,29.75%,0.24%,0.26%,2.44%,0.15%,100.00%
2021-06-05,0.55%,63.87%,2.60%,0.37%,0.37%,29.15%,0.25%,0.25%,2.45%,0.15%,100.00%
2021-06-04,0.55%,63.98%,2.68%,0.37%,0.38%,28.94%,0.25%,0.26%,2.46%,0.14%,100.00%
2021-06-03,0.56%,63.85%,2.81%,0.39%,0.33%,28.91%,0.26%,0.27%,2.49%,0.15%,100.00%
2021-06-02,0.56%,64.08%,2.80%,0.40%,0.32%,28.65%,0.25%,0.27%,2.52%,0.15%,100.00%
2021-06-01,0.56%,64.15%,2.87%,0.40%,0.29%,28.50%,0.25%,0.27%,2.56%,0.15%,100.00%
2021-05-31,0.56%,63.92%,2.92%,0.40%,0.27%,28.67%,0.25%,0.27%,2.58%,0.16%,100.00%
