Date,AAVE,BTC,LINK,COMP,CURVE,ETH,SUSHI,SYNTH,UNI,YFI,DAI
2021-08-12,402.9181924,45896.61804,25.92499567,468.5488576,2.038098467,3193.494149,11.23900858,10.67811172,28.97809242,37962.82346,1.00149717
2021-08-11,383.7831577,45619.63618,24.55727456,472.4586863,2.068681391,3143.801473,10.34999208,10.26433426,28.78248969,34903.3166,0.9999842744
2021-08-10,374.4440751,46396.4632,24.23104561,467.7178718,1.874971149,3164.332581,9.823584002,10.16342892,28.35755892,33962.66744,1.000777482
2021-08-09,361.0759526,44209.13938,23.05365459,467.0378528,1.756936915,3015.983634,9.392976373,9.688298556,26.71512894,32766.90381,1.001536754
2021-08-08,385.4072245,44551.44713,24.68597766,507.3522052,1.91473626,3159.377297,10.33347194,10.54226566,28.26563427,34652.76872,1.000293138
2021-08-07,369.7926423,42864.08295,23.89845018,466.4479263,1.924550927,2892.634011,9.822770618,10.19175023,26.19172158,33215.36273,1.001031266
2021-08-06,373.1808439,40884.83,24.06714965,475.1718283,1.770123986,2828.452629,9.628585971,10.58146101,25.43981232,32943.66585,1.000159997
2021-08-05,338.9524824,39749.98808,24.1801281,464.5246311,1.623829441,2727.390248,8.745290972,9.65434343,23.52128995,33000.45989,1.00179874
2021-08-04,308.2943898,38136.04454,23.88972031,396.0396188,1.56804256,2518.660591,8.059081402,9.045560265,21.40162877,31813.97799,1.000209948
2021-08-03,320.3867313,39152.28128,23.47998623,407.5940972,1.62241332,2609.186237,8.36701188,9.493427905,22.3851898,32018.35708,1.001012008
2021-08-02,316.7250956,39978.234,22.09360851,409.9362693,1.659302743,2562.485123,8.494567489,9.480314438,22.01124704,32076.03045,0.9995779297
2021-08-01,330.9896779,41561.59902,22.74842555,406.1065158,1.712547718,2534.995818,8.8734483,10.15436553,21.78991313,33135.33805,1.000404822
2021-07-31,321.0273804,42262.10991,22.31131189,404.724529,1.698647297,2467.986773,8.479868716,9.632465695,20.96358978,31368.64425,1.000484881
2021-07-30,311.5379028,40012.70964,19.35983256,396.1795929,1.621944012,2381.189406,8.16439058,9.955236792,19.55128018,30835.81904,1.000245386
2021-07-29,297.6587687,39999.6379,19.07077065,387.1956907,1.536472962,2300.320177,8.11703034,9.103556874,19.00064958,29848.45474,1.000918401
2021-07-28,300.0187158,39464.27416,19.51469558,392.7078165,1.563351383,2300.822896,8.169989137,9.363232042,18.8953347,29615.54153,1.001080531
2021-07-27,305.2834465,37327.27183,18.29413823,392.6650631,1.532745575,2231.082845,8.283968211,9.362001162,18.54235829,30044.21184,1.001328389
2021-07-26,288.0719569,35372.15365,16.76920171,391.3368032,1.524676636,2192.044039,8.335036583,8.405824317,18.28735465,29985.98019,1.010597317
2021-07-25,288.0366708,34300.96828,16.69872592,409.4092994,1.547590891,2187.873594,8.046038854,8.61786654,18.25754562,29534.43059,1.001528265
2021-07-24,289.8249426,33589.95369,16.51459138,417.6534273,1.606245169,2125.549363,8.600495939,8.762829289,18.6237954,29429.4732,1.001069415
2021-07-23,275.0978417,32188.99372,15.88594822,412.5667339,1.51768309,2015.802946,7.736274963,8.469468501,17.3218579,28295.71909,1.0064141
2021-07-22,258.7050649,32102.78233,15.27902536,376.0727154,1.443605612,1978.236351,7.075956504,8.466890579,16.71408569,28266.18165,1.006769181
2021-07-21,223.2822567,29793.1234,13.81038938,349.7404594,1.287847101,1787.810257,6.292302647,7.552583501,14.56758609,25789.00755,1.003869845
2021-07-20,238.1619282,30867.65078,14.50208146,339.1517219,1.343255305,1818.013354,6.640666933,8.156997273,15.71715076,26851.2916,1.001005084
2021-07-19,254.1874504,31785.86281,15.49134202,379.6761446,1.413413812,1893.370271,7.087248982,8.884955193,16.3191431,27981.31699,0.9927028028
2021-07-18,253.0844014,31530.53767,15.35723772,378.7802566,1.424712153,1898.91594,7.480967247,8.842330945,16.12109054,27667.01431,1.00086936
2021-07-17,253.6013528,31411.62736,15.24679985,368.183255,1.419532653,1877.592421,6.360406248,8.906928334,16.36944401,27659.73835,1.000968598
2021-07-16,272.076606,31756.4486,15.73149748,398.598286,1.511961519,1915.416625,6.70574361,9.568974721,17.06151665,30074.54567,1.003897862
2021-07-15,279.3193226,32855.79039,16.93730074,410.0779038,1.597731443,1994.052172,7.115686009,10.45568159,17.87168602,31612.02222,1.000784393
